apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
planable.io,1,70,Connectable,,fail,fail,pass,pass,pass,fail,skip,fail,fail,,modern,22,0.2.0-draft,2026-08-04
planexe.org,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,16,0.2.0-draft,2026-08-04
planitprima.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,36,0.2.0-draft,2026-08-04
planningcenter.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
planningcenteronline.com,1,0,Absent,,skip,fail,fail,skip,skip,skip,skip,skip,fail,,,7,0.2.0-draft,2026-08-04
plantrip.io,1,100,Agent-ready,,fail,fail,pass,fail,pass,pass,pass,pass,pass,,legacy,19,0.2.0-draft,2026-08-04
planwright.tools,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,15,0.2.0-draft,2026-08-04
plataform-connect.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,6,0.2.0-draft,2026-08-04
plate.to,1,70,Connectable,,pass,fail,fail,pass,pass,fail,skip,fail,fail,mcp-json,modern,17,0.2.0-draft,2026-08-04
plates-spread-materials-optimum.trycloudflare.com,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,3,0.2.0-draft,2026-08-04
platfone.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,17,0.2.0-draft,2026-08-04
platform.uno,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,28,0.2.0-draft,2026-08-04
plati.market,1,5,Text-only,,fail,fail,fail,fail,skip,skip,skip,fail,pass,,,30,0.2.0-draft,2026-08-04
playbykey.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,skip,fail,pass,,,14,0.2.0-draft,2026-08-04
playcallerapp.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,14,0.2.0-draft,2026-08-04
playfrog.games,1,5,Text-only,,fail,fail,fail,fail,skip,skip,skip,fail,pass,,,17,0.2.0-draft,2026-08-04
pleaseremind.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,skip,fail,pass,,,14,0.2.0-draft,2026-08-04
plentopasto.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,15,0.2.0-draft,2026-08-04
plero.ai,1,45,Discoverable,,fail,fail,skip,pass,skip,skip,skip,pass,fail,,,18,0.2.0-draft,2026-08-04
