apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
slide-factory-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
slideforge.dev,1,95,Agent-ready,,fail,fail,pass,pass,pass,pass,fail,skip,pass,pass,fail,,modern,20,0.4.0,2026-08-07
slideless.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,31,0.4.0,2026-08-07
slidesfly.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-server-card-json,,14,0.4.0,2026-08-07
slidev-mcp.org,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,20,0.4.0,2026-08-07
slima.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,19,0.4.0,2026-08-07
slingdata.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
slipstack.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
slipstream-pi.vercel.app,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,33,0.4.0,2026-08-07
slug-generator-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
slug-generator-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
smartapex.uk,1,85,Connectable,,pass,fail,pass,fail,pass,fail,fail,pass,skip,pass,pass,mcp-json|mcp-server-card-json,legacy,21,0.4.0,2026-08-07
smartapis.net,1,0,Absent,,skip,fail,fail,skip,skip,skip,skip,skip,skip,skip,fail,,,3,0.4.0,2026-08-07
smartbear.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,20,0.4.0,2026-08-07
smartcrawler.io,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-json,,17,0.4.0,2026-08-07
smartergpt.dev,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,15,0.4.0,2026-08-07
smarterweather.com,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,legacy,26,0.4.0,2026-08-07
smarthomeexplorer.com,1,50,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,pass,mcp-bare,,32,0.4.0,2026-08-07
smartling.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,35,0.4.0,2026-08-07
smartroutes.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
smasher.studio,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,46,0.4.0,2026-08-07
smiaware.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
smirnov.link,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,11,0.4.0,2026-08-07
smklog.com,1,45,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,15,0.4.0,2026-08-07
smolanalytics.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
smplkit.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,31,0.4.0,2026-08-07
sms-validator-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
sms-validator-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
smsenmasse.fr,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,30,0.4.0,2026-08-07
snapcall.io,1,35,Discoverable,,fail,pass,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
snapdiff.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
snapforge.org,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
snapog.com,1,35,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,fail,fail,mcp-server-card-json,,20,0.4.0,2026-08-07
snapshot-site.com,1,45,Discoverable,,fail,fail,pass,pass,fail,skip,fail,skip,skip,pass,fail,,,26,0.4.0,2026-08-07
snapto.link,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,32,0.4.0,2026-08-07
snaptoll.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
sncro.net,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,41,0.4.0,2026-08-07
sneaker-hub.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
snhp.dev,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,18,0.4.0,2026-08-07
sniff.world,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
snipara.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,28,0.4.0,2026-08-07
snipget.ai,1,45,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,fail,ai-catalog|mcp-server-card-json,,22,0.4.0,2026-08-07
snitcher.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,28,0.4.0,2026-08-07
snoooz.ai,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
snooze.domains,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,legacy,23,0.4.0,2026-08-07
snov.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
snowdata.ai,1,45,Discoverable,,pass,fail,pass,fail,fail,skip,fail,skip,skip,pass,fail,ai-catalog|mcp-json,,37,0.4.0,2026-08-07
snowsure.ai,1,85,Connectable,,pass,fail,pass,pass,pass,fail,fail,fail,skip,pass,pass,ai-catalog|mcp-json|mcp-server-card-json,legacy,37,0.4.0,2026-08-07
