apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
0.space,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,23,0.4.0,2026-08-07
0523.tw,1,85,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,,modern,18,0.4.0,2026-08-07
0latency.ai,1,45,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,36,0.4.0,2026-08-07
0nmcp.com,1,50,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,mcp-json,,27,0.4.0,2026-08-07
0xarchive.io,1,85,Connectable,,pass,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,ai-catalog|mcp-server-card-json,modern,26,0.4.0,2026-08-07
0xdirectping.com,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
0xhumans-mcp-proxy.vercel.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,33,0.4.0,2026-08-07
1001locals.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
100hires.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,18,0.4.0,2026-08-07
101soundboards.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,16,0.4.0,2026-08-07
1145.am,1,40,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,mcp-json,,15,0.4.0,2026-08-07
11agents.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
123elec.com,1,70,Connectable,,pass,fail,fail,fail,pass,fail,fail,pass,skip,fail,fail,mcp-json,legacy,36,0.4.0,2026-08-07
1325.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
13flow.eu,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,20,0.4.0,2026-08-07
1clickreport.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,31,0.4.0,2026-08-07
1inch.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
1social.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
1stdibs.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,37,0.4.0,2026-08-07
2022.cat,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-server-card-json,,18,0.4.0,2026-08-07
21st.dev,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,20,0.4.0,2026-08-07
2c08-27-4-120-4.ngrok-free.app,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,54,0.4.0,2026-08-07
2oapi.xyz,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,29,0.4.0,2026-08-07
2ools.app,1,10,Text-only,,skip,fail,fail,skip,skip,skip,fail,skip,skip,pass,fail,,,5,0.4.0,2026-08-07
3ceng.cn,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
3d-meshweaver-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
3doptix.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,31,0.4.0,2026-08-07
3dpack.ing,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
3dstreet.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
3keys.world,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
3tg.dev,1,45,Discoverable,,fail,pass,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,22,0.4.0,2026-08-07
402.bot,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,54,0.4.0,2026-08-07
402.coffee,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,16,0.4.0,2026-08-07
402oracle.com,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,fail,,legacy,20,0.4.0,2026-08-07
448c.org,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,33,0.4.0,2026-08-07
4bots.net,1,35,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,fail,fail,mcp-json,,26,0.4.0,2026-08-07
4fetch.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,20,0.4.0,2026-08-07
52choujiang.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
530amodel.com,1,85,Connectable,,pass,fail,fail,fail,pass,pass,fail,skip,fail,pass,pass,mcp-json,legacy,22,0.4.0,2026-08-07
558686.xyz,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,31,0.4.0,2026-08-07
5arz.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
5pu357jdkqc3qynzkjvu3okgqy0ncsiy.lambda-url.us-east-1.on.aws,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
636865636b73756d.com,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
68cxgfyr0.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
6ducklearn.com,1,85,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,,modern,18,0.4.0,2026-08-07
70ug3hqb29.execute-api.us-east-1.amazonaws.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
787daily.com,1,100,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,pass,,modern,23,0.4.0,2026-08-07
7qc1f4ft9d.execute-api.us-west-2.amazonaws.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
80l.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
869biz.com,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
8p5dmrjzl1.execute-api.eu-north-1.amazonaws.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
911fund.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
91eaaf4b-0a31-4f81-971a-86dc09a31986-00-2a9kujnvh541f-mwardvi0.kirk.replit.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
a0985344368.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
a1.gallery,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,29,0.4.0,2026-08-07
a11ychk.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,27,0.4.0,2026-08-07
a2a-artifact-handoff.onrender.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
a2a2p.com,1,100,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,pass,,modern,19,0.4.0,2026-08-07
a2abench-mcp-remote-405318049509.us-central1.run.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,54,0.4.0,2026-08-07
a2abench-mcp.web.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,31,0.4.0,2026-08-07
a2ainfrastructure.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
a2awire.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-server-card-json,,15,0.4.0,2026-08-07
a2ax.fly.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,41,0.4.0,2026-08-07
a2me.app,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
a3eecosystem.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,15,0.4.0,2026-08-07
aaif.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
aapl.se,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
aarna.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,36,0.4.0,2026-08-07
aatos.dev,1,85,Connectable,,pass,fail,pass,fail,pass,fail,fail,skip,skip,pass,pass,mcp-json,legacy,33,0.4.0,2026-08-07
abbyseo.com,1,100,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,pass,,legacy,37,0.4.0,2026-08-07
abdominal.in,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
abhijitjavelin.github.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
ablakarajanlat.hu,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,fail,,legacy,33,0.4.0,2026-08-07
ablakunio.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,40,0.4.0,2026-08-07
abm.dev,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
abmeter.ai,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,legacy,22,0.4.0,2026-08-07
abundanceapis.com,1,100,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,pass,,legacy,20,0.4.0,2026-08-07
abyssfallgame.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,29,0.4.0,2026-08-07
academic-intel-mcp-production.up.railway.app,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,41,0.4.0,2026-08-07
accountingqb.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
accrue.cc,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-json,,15,0.4.0,2026-08-07
accruedev.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,16,0.4.0,2026-08-07
accurecord.io,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,modern,21,0.4.0,2026-08-07
aceadvising.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,26,0.4.0,2026-08-07
acerank.in,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
achillesalpha.onrender.com,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-json|mcp-server-card-json,,28,0.4.0,2026-08-07
achriom.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,23,0.4.0,2026-08-07
acjlabs.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
acjlabs.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
aclimacao.sampa.br,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,mcp-json,legacy,22,0.4.0,2026-08-07
acopio.dev,1,80,Connectable,,pass,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,mcp-server-card-json,modern,20,0.4.0,2026-08-07
acornonaut.app,1,40,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,mcp-json,,16,0.4.0,2026-08-07
acprompt.com,1,45,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,29,0.4.0,2026-08-07
acquislaw.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
actablesite.com,1,100,Agent-ready,,pass,fail,fail,fail,pass,pass,fail,pass,pass,pass,pass,mcp-json|mcp-server-card-json,legacy,19,0.4.0,2026-08-07
actimate.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,29,0.4.0,2026-08-07
actimateai.io,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,4,0.4.0,2026-08-07
actiongate.xyz,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,22,0.4.0,2026-08-07
actionlayer.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
activated-ai.ru,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
activatedai.ru,1,95,Agent-ready,,fail,fail,pass,pass,pass,pass,fail,skip,pass,pass,fail,,modern,23,0.4.0,2026-08-07
actuallycare.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
actvt.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
acuris-geo.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,30,0.4.0,2026-08-07
ad-sniper-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
ad-spend-auditor-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
adadvisor.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
adaptika.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,16,0.4.0,2026-08-07
adbloop.com,1,75,Connectable,,fail,fail,pass,pass,pass,pass,fail,skip,fail,fail,pass,,modern,23,0.4.0,2026-08-07
adbutler.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,19,0.4.0,2026-08-07
adcritter.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,20,0.4.0,2026-08-07
adcrunch.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
address-validator-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
addresstozip.jp,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,mcp-server-card-json,legacy,20,0.4.0,2026-08-07
adeu.ai,1,50,Discoverable,,fail,pass,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
adextract.co,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
adgentek.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
adkit.so,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,17,0.4.0,2026-08-07
admaxxer.com,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,13,0.4.0,2026-08-07
admit-coach.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,14,0.4.0,2026-08-07
admitbase.com,1,50,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,pass,mcp-json,,15,0.4.0,2026-08-07
adologyai.com,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,modern,23,0.4.0,2026-08-07
adopte-un-conteneur.fr,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,28,0.4.0,2026-08-07
adramp.ai,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
adrianczuczka.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,14,0.4.0,2026-08-07
adrkit.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
adsagent.org,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,fail,fail,,,18,0.4.0,2026-08-07
adside.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,28,0.4.0,2026-08-07
adspirer.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,26,0.4.0,2026-08-07
adtao.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
adufloridainfo.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,29,0.4.0,2026-08-07
advalorem.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
advisorfinder.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
advocatemcp.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
adweave.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
adwhispr.com,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
adwhiz.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,30,0.4.0,2026-08-07
aegis-policy-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
aegisgov-contracts.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
aeml-x402.zeabur.app,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,fail,,legacy,33,0.4.0,2026-08-07
aeoess.com,1,50,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,pass,mcp-json,,22,0.4.0,2026-08-07
aeotool.io,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
aerware.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,16,0.4.0,2026-08-07
aerynw.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
aethereum.dev,1,50,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,pass,mcp-server-card-json,,29,0.4.0,2026-08-07
aetheris-mcp.onrender.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
aetherwealth.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
aevia.cloud,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
aevumsecurity.com.sg,1,80,Connectable,,pass,fail,fail,fail,pass,fail,fail,pass,skip,pass,fail,mcp-json,legacy,21,0.4.0,2026-08-07
aex402.com,1,5,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,pass,,,18,0.4.0,2026-08-07
afbudsrejser.dk,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,fail,,legacy,32,0.4.0,2026-08-07
afdinstitute.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,19,0.4.0,2026-08-07
affogata.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,29,0.4.0,2026-08-07
afmr.ai,1,85,Connectable,,pass,fail,fail,fail,pass,pass,fail,pass,fail,pass,pass,mcp-json,legacy,19,0.4.0,2026-08-07
africanmarketos.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,pass,skip,skip,pass,pass,mcp-json|mcp-bare|mcp-server-card-json,,15,0.4.0,2026-08-07
afriref.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,16,0.4.0,2026-08-07
afterlaunch.io,1,50,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,mcp-json,,14,0.4.0,2026-08-07
aftership.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,32,0.4.0,2026-08-07
agenda.rio.br,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,mcp-json,legacy,22,0.4.0,2026-08-07
agenda.sampa.br,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,mcp-json,legacy,22,0.4.0,2026-08-07
agent-api-production-169b.up.railway.app,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,29,0.4.0,2026-08-07
agent-commerce-guard.vercel.app,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,33,0.4.0,2026-08-07
agent-data-platform.onrender.com,1,80,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,fail,,legacy,33,0.4.0,2026-08-07
agent-factory-gateway-production.up.railway.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,33,0.4.0,2026-08-07
agent-guild-5d5r.onrender.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,28,0.4.0,2026-08-07
agent-handoff-production-573c.up.railway.app,1,85,Connectable,,fail,fail,pass,fail,pass,pass,fail,skip,pass,fail,fail,,legacy,33,0.4.0,2026-08-07
agent-hub-henna.vercel.app,1,85,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,pass,,legacy,33,0.4.0,2026-08-07
agent-infra.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
agent-memory-api.vercel.app,1,35,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,mcp-server-card-json,,28,0.4.0,2026-08-07
agent-memory-production-6506.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent-module.dev,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,skip,pass,pass,pass,mcp-json,legacy,21,0.4.0,2026-08-07
agent-phone-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent-pulse-seven.vercel.app,1,80,Connectable,,pass,fail,pass,fail,pass,fail,fail,pass,skip,pass,fail,mcp-server-card-json,legacy,33,0.4.0,2026-08-07
agent-ready.dev,1,85,Connectable,,pass,fail,fail,pass,pass,fail,fail,pass,skip,pass,pass,mcp-json|mcp-bare|mcp-server-card-json,legacy,25,0.4.0,2026-08-07
agent-rescue-desk.netlify.app,1,80,Connectable,,pass,fail,pass,fail,pass,fail,fail,pass,skip,pass,fail,mcp-json,legacy,33,0.4.0,2026-08-07
agent-rescue.vercel.app,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,28,0.4.0,2026-08-07
agent-router.org,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,27,0.4.0,2026-08-07
agent-services-seven.vercel.app,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,28,0.4.0,2026-08-07
agent-signal-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent-svg-registry.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent-teller-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent-tools.cloud,1,35,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,mcp-json,,15,0.4.0,2026-08-07
agent-tune.com,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,fail,pass,pass,pass,pass,mcp-server-card-json,legacy,20,0.4.0,2026-08-07
agent-vending-factory-3srpjtr7na-ew.a.run.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agent4.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,23,0.4.0,2026-08-07
agent402.tools,1,85,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,pass,pass,,legacy,20,0.4.0,2026-08-07
agentaegis-mcp-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
agentage.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
agentanalytics.sh,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,18,0.4.0,2026-08-07
agentarena.site,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-server-card-json,,14,0.4.0,2026-08-07
agentbase.tools,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,21,0.4.0,2026-08-07
agentbazaar.tech,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,mcp-json,,15,0.4.0,2026-08-07
